State,North Latitude,West Longitude,County,Approximate Location by Important Places
Alabama,32° 59′ 28″,86° 46′ 39″,Chilton,13.5 miles NW of Clanton
Alaska,61° 08′ 24″,148° 58′ 47″,Anchorage,33 miles SE of Anchorage
Arizona,33° 17′ 09″,111° 41′ 15″,Maricopa,26.5 miles SE of Phoenix
Arkansas,34° 54′ 52″,92° 21′ 05″,Pulaski,12.5 miles NW of Little Rock
California,35° 28′ 03″,119° 28′ 31″,Kern,27.5 miles NW of Bakersfield
Colorado,39° 26′ 37″,105° 07′ 36″,Jefferson,21.8 miles SE of Golden
Connecticut,41° 29′ 17″,72° 52′ 38″,New Haven,12.5 miles NE of New Haven
Delaware,39° 28′ 44″,75° 33′ 33″,New Castle,19 miles S of Wilmington
District of Columbia,38° 54′ 22″,77° 00′ 29″,D.C.,1.1 miles N of the Capital
Florida,27° 51′ 49″,81° 43′ 32″,Polk,7.3 miles SE of Bartow
Georgia,33° 08′ 52″,83° 48′ 13″,Jasper,13 miles SW of Monticello
Hawaii,21° 13′ 38″,157° 39′ 20″,Honolulu,15.2 miles SE of Honolulu
Idaho,44° 12′ 00″,114° 49′ 57″,Custer,36 miles SW of Challis
Illinois,41° 13′ 03″,88° 23′ 12″,Grundy,9.8 miles SE of Morris
Indiana,40° 11′ 48″,86° 17′ 30″,Clinton,13.8 miles SE of Frankfort
Iowa,41° 59′ 46″,93° 05′ 14″,Marshall,10 miles SW of Marshalltown
Kansas,38° 27′ 39″,96° 39′ 46″,Chase,9 miles NW of Cottonwood Falls
Kentucky,37° 48′ 54″,85° 16′ 57″,Washington,9.3 miles NW of Springfield
Louisiana,30° 43′ 44″,91° 28′ 41″,Pointe Coupee,3 miles NW of New Roads
Maine,44° 26′ 57″,69° 37′ 20″,Kennebec,12.2 miles NE of Augusta
Maryland,39° 09′ 51″,76° 47′ 11″,Howard,7.5 miles S of Ellicott City
Massachusetts,42° 17′ 26″,71° 23′ 40″,Middlesex,15.5 miles SW of Cambridge
Michigan,42° 48′ 21″,84° 02′ 58″,Shiawassee,12 miles SE of Corunna
Minnesota,45° 14′ 12″,93° 39′ 01″,Wright,12 miles NE of Buffalo
Mississippi,32° 36′ 57″,89° 39′ 18″,Leake,10.2 miles SW of Carthage
Missouri,38° 31′ 27″,92° 01′ 36″,Cole,8 miles SE of Jefferson City
Montana,46° 53′ 52″,110° 49′ 30″,Meagher,24.5 miles NE of White Sulphur Springs
Nebraska,41° 11′ 49″,97° 32′ 49″,Polk,1.3 miles N of Osceola
Nevada,37° 38′ 16″,116° 45′ 08″,Nye,39.3 miles SE of Tonopah
New Hampshire,43° 11′ 35″,71° 28′ 45″,Merrimack,3.5 miles E of Concord
New Jersey,40° 29′ 45″,74° 24′ 04″,Middlesex,2.8 miles E of New Brunswick
New Mexico,34° 34′ 45″,106° 06′ 53″,Torrance,13 miles SW of Estancia
New York,41° 30′ 49″,74° 43′ 02″,Sullivan,10 miles SW of Monticello
North Carolina,35° 34′ 28″,79° 40′ 12″,Randolph,12.5 miles SE of Asheboro
North Dakota,47° 27′ 48″,99° 30′ 57″,Wells,13.5 miles SE of Fessenden
Ohio,40° 32′ 42″,82° 40′ 45″,Morrow,7.8 miles E of Mt. Gilead
Oklahoma,35° 35′ 02″,96° 56′ 20″,Lincoln,8 miles SW of Chandler
Oregon,44° 44′ 33″,122° 33′ 10″,Linn,28 miles NE of Albany
Pennsylvania,40° 27′ 17″,77° 11′ 59″,Perry,2.5 miles N of New Bloomfield
Rhode Island,41° 45′ 39″,71° 26′ 02″,Providence,5.5 miles S of Providence
South Carolina,34° 03′ 35″,81° 02′ 55″,Richland,4.5 miles N of Columbia
South Dakota,44° 08′ 29″,98° 57′ 55″,Buffalo,7.8 miles NE of Gannvalley
Tennessee,35° 45′ 45″,86° 30′ 06″,Rutherford,8.2 miles SW of Murfreesboro
Texas,31° 04′ 52″,97° 31′ 30″,Bell,4 miles NW of Belton
Utah,40° 33′ 51″,111° 49′ 43″,Salt Lake,14.5 miles SE of Salt Lake City
Vermont,44° 02′ 45″,72° 48′ 24″,Addison,18 miles E of Middlebury
Virginia,37° 36′ 20″,77° 58′ 35″,Pawhatan,5.2 miles NW of Powhatan
Washington,47° 21′ 10″,121° 31′ 57″,King,41.5 miles SE of Seattle
West Virginia,38° 43′ 44″,80° 58′ 42″,Gilmer,15.8 miles SW of Glenville
Wisconsin,43° 40′ 56″,88° 55′ 04″,Green Lake,11.5 miles SE of Green Lake
Wyoming,42° 40′ 09″,106° 46′ 59″,Natrona,27 miles SW of Casper
