State,North Latitude,West Longitude
Alabama,32° 59′ 48″,86° 46′ 27″
Alaska,61° 11′ 51″,148° 43′ 57″
Arizona,33° 21′ 08″,111° 46′ 13″
Arkansas,35° 00′ 40″,92° 29′ 15″
California,35° 26′ 35″,119° 21′ 44″
Colorado,39° 29′ 34″,105° 11′ 18″
Connecticut,41° 29′ 49″,72° 52′ 10″
Delaware,39° 26′ 01″,75° 33′ 59″
District of Columbia,38° 54′ 31″,77° 00′ 43″
Florida,27° 47′ 60″,81° 39′ 10″
Georgia,33° 15′ 35″,83° 50′ 00″
Hawaii,21° 10′ 34″,157° 34′ 14″
Idaho,44° 12′ 15″,114° 58′ 14″
Illinois,41° 14′ 03″,88° 23′ 46″
Indiana,40° 10′ 06″,86° 16′ 15″
Iowa,41° 58′ 18″,93° 03′ 16″
Kansas,38° 27′ 29″,96° 34′ 60″
Kentucky,37° 47′ 51″,85° 14′ 21″
Louisiana,30° 42′ 33″,91° 27′ 53″
Maine,44° 22′ 15″,69° 40′ 29″
Maryland,39° 09′ 03″,76° 47′ 43″
Massachusetts,42° 16′ 29″,71° 22′ 41″
Michigan,42° 51′ 13″,84° 08′ 37″
Minnesota,45° 13′ 18″,93° 36′ 31″
Mississippi,32° 33′ 46″,89° 36′ 34″
Missouri,38° 27′ 47″,92° 05′ 59″
Montana,46° 50′ 25″,111° 01′ 35″
Nebraska,41° 11′ 29″,97° 28′ 30″
Nevada,37° 25′ 14″,116° 34′ 24″
New Hampshire,43° 09′ 42″,71° 27′ 55″
New Jersey,40° 26′ 25″,74° 25′ 46″
New Mexico,34° 36′ 42″,106° 16′ 47″
New York,41° 32′ 37″,74° 41′ 38″
North Carolina,35° 33′ 31″,79° 39′ 17″
North Dakota,47° 24′ 50″,99° 24′ 56″
Ohio,40° 29′ 46″,82° 44′ 18″
Oklahoma,35° 35′ 22″,96° 51′ 53″
Oregon,44° 42′ 55″,122° 35′ 04″
Pennsylvania,40° 27′ 52″,77° 07′ 20″
Rhode Island,41° 45′ 16″,71° 26′ 47″
South Carolina,34° 01′ 58″,81° 01′ 38″
South Dakota,44° 05′ 17″,99° 05′ 33″
Tennessee,35° 47′ 00″,86° 25′ 52″
Texas,30° 58′ 52″,97° 26′ 31″
Utah,40° 29′ 29″,111° 51′ 51″
Vermont,44° 03′ 53″,72° 48′ 39″
Virginia,37° 41′ 53″,77° 52′ 28″
Washington,47° 21′ 09″,121° 36′ 46″
West Virginia,38° 44′ 46″,80° 52′ 41″
Wisconsin,43° 43′ 16″,88° 58′ 59″
Wyoming,42° 38′ 13″,106° 58′ 46″
