state,n_lat_m_s,w_lon_m_s,lat,lon,lat_dec,lon_dec
Alabama,32° 59′ 32″,86° 46′ 30″,"32d59' 32""N","86d46' 30""W",32.992222222222225,-86.775
Alaska,61° 22′ 11″,148° 29′ 07″,"61d22' 11""N","148d29' 07""W",61.36972222222222,-148.48527777777775
Arizona,33° 19′ 29″,111° 43′ 06″,"33d19' 29""N","111d43' 06""W",33.32472222222223,-111.71833333333333
Arkansas,34° 58′ 18″,92° 26′ 03″,"34d58' 18""N","92d26' 03""W",34.97166666666667,-92.43416666666667
California,35° 28′ 29″,119° 26′ 17″,"35d28' 29""N","119d26' 17""W",35.474722222222226,-119.43805555555556
Colorado,39° 29′ 11″,105° 10′ 52″,"39d29' 11""N","105d10' 52""W",39.48638888888889,-105.18111111111112
Connecticut,41° 29′ 26″,72° 52′ 34″,"41d29' 26""N","72d52' 34""W",41.49055555555556,-72.8761111111111
Delaware,39° 26′ 42″,75° 33′ 49″,"39d26' 42""N","75d33' 49""W",39.44499999999999,-75.56361111111111
District of Columbia,38° 54′ 27″,77° 00′ 32″,"38d54' 27""N","77d00' 32""W",38.9075,-77.00888888888889
Florida,27° 47′ 41″,81° 40′ 25″,"27d47' 41""N","81d40' 25""W",27.794722222222223,-81.67361111111111
Georgia,33° 11′ 12″,83° 48′ 36″,"33d11' 12""N","83d48' 36""W",33.18666666666666,-83.81
Hawaii,21° 12′ 04″,157° 36′ 45″,"21d12' 04""N","157d36' 45""W",21.20111111111111,-157.61249999999998
Idaho,44° 12′ 26″,114° 56′ 09″,"44d12' 26""N","114d56' 09""W",44.20722222222223,-114.93583333333333
Illinois,41° 12′ 27″,88° 24′ 25″,"41d12' 27""N","88d24' 25""W",41.2075,-88.40694444444445
Indiana,40° 10′ 33″,86° 17′ 01″,"40d10' 33""N","86d17' 01""W",40.17583333333333,-86.28361111111111
Iowa,41° 59′ 10″,93° 03′ 30″,"41d59' 10""N","93d03' 30""W",41.986111111111114,-93.05833333333334
Kansas,38° 27′ 16″,96° 38′ 17″,"38d27' 16""N","96d38' 17""W",38.45444444444445,-96.63805555555557
Kentucky,37° 47′ 31″,85° 13′ 22″,"37d47' 31""N","85d13' 22""W",37.79194444444444,-85.22277777777778
Louisiana,30° 43′ 04″,91° 27′ 56″,"30d43' 04""N","91d27' 56""W",30.717777777777776,-91.46555555555555
Maine,44° 24′ 44″,69° 38′ 27″,"44d24' 44""N","69d38' 27""W",44.41222222222222,-69.64083333333333
Maryland,39° 09′ 35″,76° 47′ 25″,"39d09' 35""N","76d47' 25""W",39.15972222222222,-76.79027777777777
Massachusetts,42° 16′ 45″,71° 23′ 04″,"42d16' 45""N","71d23' 04""W",42.27916666666667,-71.38444444444445
Michigan,42° 50′ 28″,84° 06′ 30″,"42d50' 28""N","84d06' 30""W",42.84111111111111,-84.10833333333333
Minnesota,45° 15′ 16″,93° 38′ 56″,"45d15' 16""N","93d38' 56""W",45.254444444444445,-93.64888888888889
